voter,compound_name,ens_name,sybil_name,category
0x8125FDbC90f5F5442215d149973e824fE4b641f6,,gogata.eth,,
0x128e5625e15FdBA91d6CcB1AbDFdC62b5d152b4f,,layer2scaling.eth,,
0x0B84D1d6C2E2832af66A88a79EACA1fAdE4F100D,,,mhmmdrizky42,
0x094e4b82a5722271546CCa99c8C351BD840669AE,,chuanx2.eth,chuanx2,
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,,jessewldn.eth,jessewldn,founder
0x93E459A7fA7886cE52993A48445646A1342F1Bf0,,coffeesong.eth,DavidSong0820,
0x067b9Bbbbc42d2AB9b9Ab6bB62646dAF7F344A76,,,lay2000lbs,
0xe882C0cbB836C34447dc58f74C08f373A6D37Cd8,,longqpal.eth,,
0x04b6eA5a19b8945eDdC4A141408ec34C2A55a34e,,xiaozhan.eth,,
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,,dcinvestor.eth,iamDCinvestor,
0x99Ae31C5Da689FE88C5a9e0648D1Ec89AA4dC2b9,,,xmontc,
0xa7CC8Da2A472612aEB25218a4fB9d995Fa3472a6,,brotherhood.eth,,
0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,HarvardLawBFI,,HarvardLawBFI,university
0xba740c9035fF3c24A69e0df231149c9cd12BAe07,,tarrence.eth,tarrenceva,
0x4F4A140E9B4a8403792970C6b5535ed0AA32c8A4,,temidayore.eth,,
0x53C40473DcdFd927C4201cCFE24E314a7D7C3584,,dowjonez.eth,,
0x7e1FEb23C08bFe287f6d3350281029aF0889502a,,vihari.eth,,
0x012D01940D2ca5135f2205F5a16d40aD35CB07Be,,reddy.argent.xyz,,
0xd95417AA3023043931328D5A3BAA6Afd80379510,,0xcoupon.eth,saveascj,
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,Blockchain at UCLA,blockchainatucla.eth,blockchainucla,university
0xC7A3F400cdDe42cf52f240e46ae83d59F3dF1303,,deller.eth,,
0x5b19de7581Cee12b016273826FA75cFF436525BF,,,RstDona,
0x77A80028A50a7504604646EE51586A721F52f07c,,jiedao.eth,yuancj,
0xD1570080bcB784b4F5E378dfd4cDfFDfd6C110f6,,huangnanlv1.eth,huangnanlv,
0xB584bFD8377Df5e81562B49FC1d1e4E33368BF2F,,darkforestdao.eth,,
0xEccC484DD4093F62fC24c4725800013FBc2C1D15,,creampp.eth,,
0xd23703521516458f979D7C951865979051D62892,,ubik202.eth,,
0xEFF506a32B55D5c19847c1a4F8510c00280c27E5,Stanford Blockchain Club,,,university
0x2891B78092310Ce8219Fe8298bb0FE7afa69F43F,,cryptocrystal.eth,,
0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,,lkcho.eth,,
0x7663697900dd93A6D4722bc150d8e3A03C7B4866,,dogday.eth,wakemehh,
0xDbeDdfe35Cd0D6E4C08d07485aA64cFce7205953,,aibohphobia.eth,,
0x09c41efc1C7E2C2A11Bb153eF39AFFeaFf2CeDcD,,jianan.eth,,
0x8e777369b4Bd6fbbF20270dC8c599Ea11d919505,,sapolin.eth,,
0x00de3A8BDEe6E682C3509d66A947d05A8Ca797af,,safeking.eth,,
0x2F42fCd8D06A840C242814ea5AaAa60699C3D69c,,,hansi_c,
0x735dA2416FDA3Cc767D310499A72A5FD8b2Fe74f,,cannagov.eth,,
0xD5102725Cc00421854dd616A2D8769CE36017315,,linkstart.eth,,
0xa1C7bd2e48f7f3922e201705f3491C841135F483,,fu-ma.eth,,
0x83C9440dc34DA00c47A0d4dC2b598d7BDB1b53F7,,denet.eth,,
0xB72eD8401892466Ea8aF528C1af1d0524bc5e105,,gekko.eth,,
0x1C0Aa8cCD568d90d61659F060D1bFb1e6f855A20,,robertcampbell.eth,,
0xAB88170AA3d24b1f6c1b37Ffba5D3D2c4382afA2,,dogekingdao.eth,EOS2018,
0xdED11A75F5FFE8cB01C1B5ae9Fbe5a5B2ff199b1,Blockchain at MIT,,MITBitcoinClub,university
0x4752D96A0564728c596ae067844c2d1EDFf37131,,sahokun.eth,,
0x04BCc6644c694608Be74fe716c37da670183E0F4,,eyezwideshut.eth,,
0xcD7a0680c14b13618bf119FF899Ed10Ca4dBCcCc,,oscarramirez.eth,,
0x33A195fB55671fC2205764955393108645ebBa38,,colleensullivan.eth,,
0x54c375c481f95ba43e2cEcd6Ef30631f55518f57,,pigou.eth,,
0xaDFFc7Ff3E937E3D7A34e989FaC05fE06cD0fc99,,hasselhoff.eth,,
0x1ccb144B700EC726d37Db38c617E154De6d9c0d0,,dadababa.eth,,
0x3b59e42d9F33906fF58813f9bb8be58b185d22F2,,chanelpurse.eth,,
0x53D290220B4ae5cd91987517EF04E206c1078850,,0x53d.eth,,
0x2D00E5517D2Ed59633B231Fbf57D0d3f53166AA3,,ragnarush.eth,,
0x41E3414DCA26522A9a3b03b6582356FA03274f3A,,anastasiah.eth,,
0x10D6d2e343281D388291A3e02f3293AaEdA67178,,helloshreyas.eth,,
0xBC5eC594509eD050F4A53eEe85D92aF6d2529b56,,erik.bjareholt.eth,ErikBjare,
0x25125E438b7Ae0f9AE8511D83aBB0F4574217C7a,,foxmask.eth,,
0xF4844a06d4f995C4c03195AfcB5Aa59dCBB5b4Fc,,wijuwiju.eth,wijuwiju0x,
0xccB82218c6F82a2B750Cf0D65e21AE6eAE14070c,,minicoohei.eth,,
0x1dF4c04D9C4247bEdF051E73730C46A03C3d3050,,zk.sismo.eth,,
0x7A31b8dc3CB42CFA99e5176e4B91e6c55Bb24e92,,enreeco.eth,,
0xcBd2F544073eb35B59a8Eb19194A222a5361CD74,,defimax444.eth,,
0x4303Ddc9943D862f2B205aF468a4A786c5137E76,,nir.eth,,
0xEa037A669d7616c221B3719155A9856088316E65,,gabriellemic.argent.xyz,,
0xBC04652B7657E9a7C2778f04B425683955DE88C1,,fccxw.eth,fccxw,
0x27Cc70646473fB5313b142291342B82e493b307c,,herakira.eth,,
0x13C810e4110567B429D33fCB12f9fdBcdbD397cc,,unacomn.eth,,
0x97cdEf79D441E922CE30Cbe88C63f83773E78C19,,shattered.eth,,
0x26298C539805947Df986b11D40b52d8bc17C809A,,narcoootic.eth,,
0xaF33Df3B2752b9451199B34D88D7E16BFFd0A8CE,,supertramp.eth,Tack05435599,
0xDd66130652e39E8068892A26fd5655d0c43Dd27D,,denkihana.eth,,
0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,Penn Blockchain,upennblockchain.eth,PennBlockchain,university
0x283D37E46f7817610fA03fE8ecE875a2897A8df9,,klinko.eth,,
0x76E059C6FF6bf9FFFD5f33AFdf4AB2FD511C9DF4,,crekto.eth,,
0xd02AE906edc339872b8300020Fc4411c4f4036e1,,andykaufman.eth,AndyKaufmanTM,
0x07a1f6fc89223c5ebD4e4ddaE89Ac97629856A0f,,tino.eth,,
0xbDde04B9a1C979747b79d5B41565CD71024cCD43,,yuanding.eth,,
0xF9b1CF9032E4EF22B0AAE0F6d7741cC850E544c2,,wncys.eth,,
0x4AAe718bfc6ecEd9855d90F3D28A1A5B0E775ABf,,aiens.eth,,
0x75f7BA92E923C500f955bf58266413ec69a26382,,naicheng.eth,,
0x6264c684B13148335f7F3E2Abb8921B0466177d0,,shuishuishui.eth,,
0xE00996bf765F97De5F6D87c110E8b2A2c1812185,,liamclifford.argent.xyz,,
0xF7838C101DD142AbFF1B612bd4DA21b21e43721f,,ape41.eth,,
0x1D90A311499e705d2B0F46f33C496275Ba0d4386,,biiibiii.eth,,
0x02446A7eDa8401dB1e3Ad37060042b14910350f0,,dappswap.eth,,
0xaAdD9277Ee25f087A974c9a8985A6b52A912B577,,delideli.eth,,
0x3383Fce9da41BcD93aAFa8bB74C729Ac8F2394D2,,ensswap.eth,,
0xC5c62B53D2219eD6B36446aeC951c423d5654Bb8,,ensmask.eth,,
0x2c299D42a05aaAaE0fA6b55Eb1C89bdbA774af8D,,2021btc.eth,,
0xB60654233c0e224d2E3e09F69C7B4f4dad95124B,,ensbtc.eth,,
0x5cA1d8383E2592b21FE2318981Ed230d1b2004F2,,mobilebtc.eth,,
0xF0850ba9Bb1A694B86C0c11E8d983f789e54E08e,,intoken.eth,,
0xF299674eeFEa658eaD0CA7245eBF5e3315682DEd,,bakesyswap.eth,,
0x1b36b983d9858D6Bd253fbBe642A93DE68b7cA7f,,openswap.eth,,
0xEb89007481990d739c1Ed98d210BddFb60e8f3bf,,91087.eth,,
0x759dE6B9806A5F695B8FE92f58a6771fB5DB52C6,,yamap.eth,,
0x06d13d1562eb9da28C59e86e9BfC2a87d13AfB01,,zk-outcome.eth,,
0x1e51745BdB4436563097833Ba83DCC51109d9FA8,,0x1e51.eth,,
0x557D85546D2a904Ed5a625aA34f2D273Fc78A8D7,,defimason.eth,,
0x0Afa4426eA10c8D60091E7e43d728764A80D692A,,darkforester.eth,Lulks4,
0x7Bd0faFe34a8B64AfAf16166d644CDbB2B950aaB,,poweroverwhelming.eth,,
0xf1147f7313a24baD6eCD8a1de02bb3417a2c6C1F,,gisha.eth,,
0x612a3500559BE7be7703de6DC397AFB541A16F7f,,,FarmerFroom,
0xef91ECd0142aE4C5163B2CF060c0563d49188C82,,ianaz.eth,ianazch,
0x32b8B761C038b030A402AB7d5536b4cddA6dbA9f,,otherinternet.eth,,research-org
0x59b429647fCC0a29166BAF2707Db5D61F0572865,,mayoi.eth,,
0x57290EB425323c463B1FE727AC07A7f51F157d06,,osaru.eth,,
0xA7F63376169ccC087EB1160E62ceCcB146C1d555,,bor4.eth,B0R444,
0x81D98c8fdA0410ee3e9D7586cB949cD19FA4cf38,,cowrie.eth,CaptSpacely,
0x138Dd537D56F2F2761a6fC0A2A0AcE67D55480FE,,meta-analytics.eth,,
0xA29DbaA84a9949A0A38a2Ba07E0b75e6603934DB,,bravus.eth,,
0x2F36399A6fe5472F0264642518c36515E033F206,,,TejuAdeyinka,
0xbAa882D68FC5325fC3899dE264F24B5981523A5C,,villatrax.eth,,
0xB7BD14E2497cdC57675E896af84ecB652D294AD1,,schlabach.eth,,
0x92E216ac6Dcd7D67F138443f95fDc83bD7dd398f,,cryptobanditz.eth,,
0x5898BcDa81dE45cb1dD0e55070E43268bBC46066,,sunnyman.eth,,
0x634208c63Ca256E73C00d99BC8837Ea1157FEdA6,,,ETH4ME,
0x826680f124dD9ED4d80300f3A5581E5d581a3e3D,,fishvote.eth,,
0x6fD906bF5Ea23F19f1882b47291B15948A68e144,,,MengboShen,
0x4C3c7F9Cd12113C2F1550c42FC648b5ea1902820,,luckyrachel.eth,RachelL16778491,
0x5B8c78C33881C3E229652c79E3DCA124473ae2E2,,luckysam.eth,SamLee15464611,
0xb2993F007d2aBaECBb7C3529d78c5de0f1214888,,kungduck.eth,,
0x294388d7f62065784666F797ca6919a4B8CeF4ab,,jigou.eth,z7039585,
0xBE0159E56636435EB0545DCCe85B4307618E895D,,keke.eth,ouyangkeke,
0xb8832d516D0f3094b4BDc5400E36a2A6984233Ea,,bujinmei.eth,,
0x376110452c2fdAEF842DBD1F64234a2045D2E40C,,taiyiyi.eth,taiyiyi1,
0xdB2bCCFB0428f6384f6571d4DF48a639b593D15b,,kolpadot.eth,,
0xaB14A615A8993425e7Afc2d044A5B64FcB3Ee8CE,,kanalistanbul.eth,,
0xa576C967dEd3dFC793E94122f53Cf95b5E2105C0,,128milyardolarnerede.eth,,
0x8962285fAac45a7CBc75380c484523Bb7c32d429,,,Consensys,DeFi-app/company
0x8286A9A98dd3A31754b116d68d154170E93072e4,,cryptorabit.eth,,
0xb4c595D0C896a2F0De1B4d1bBE79C8c018696318,,kagamimoe.eth,,
0xb035e70084EC95f323A441600E37D766302094ca,,gegege.eth,,
0x6E638891498332d37e56eF687bdeDcbA7409BCdf,,lilithgame.eth,,
0x39F1366d7b098e5898196BE0B627C99EEf5a491e,,kamimi.eth,,
0xeEAA2dA749EcC8B2154b3Da7f59C65274e58e8d0,,superbbb.eth,,
0x2802907AB681298D35CE2EAF2415550137C40c8A,,lbjrr.eth,,
0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,,benglobal.eth,BlockchainEdu,
0x5A2f8107F48a3A0d3FF64a3Cb00976e2e2144eA7,,lironglickman.eth,,
0x4D7F4C42e204901366f0dd83A4cf1629C70C1dE7,,cprocket.eth,,
0x8bC8b4E4921101BcC56ec084b906069b73de7276,,yuiyui.eth,,
0xDb965BBAD97d0784Afc22A5D82a24c5478fAf7F4,,lukasver.eth,,
0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,Blockchain at Michigan,,UMichBlockchain,university
0x189fEfb1796bf53CCa4F909c3e90a8C5Eb0AF379,,kheniichi.eth,,
0x24E219EBf46093dC5c5A748Cb20B8c83e86bf09d,,supergay.eth,,
0x158523C18810737365EbF3DaAe3a80F9575bBCB5,,balterer.eth,,
0xcD64f5A80Caf498F25C253019267D83ABfC78A9e,,jirodefu.eth,,
0x3D597789ea16054a084ac84ce87F50df9198F415,,3esmit.eth,,
