proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
10.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
10.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
11.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
11.0,0x36C4Bd54D54DD898C242F5F634f5D0CEf3bE2A8A,,,,[],other/anonymous
11.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
12.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
12.0,0x36C4Bd54D54DD898C242F5F634f5D0CEf3bE2A8A,,,,[],other/anonymous
12.0,0x5BC928BF0DAb1e4A2ddd9e347b0F22e88026D76c,,FranklinBi,Pantera Capital,[],investment
13.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
13.0,0x36C4Bd54D54DD898C242F5F634f5D0CEf3bE2A8A,,,,[],other/anonymous
13.0,0x5BC928BF0DAb1e4A2ddd9e347b0F22e88026D76c,,FranklinBi,Pantera Capital,[],investment
14.0,0x4a49985B14bD0ce42c25eFde5d8c379a48AB02F3,,,,[],other/anonymous
15.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
15.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
16.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
16.0,0x36C4Bd54D54DD898C242F5F634f5D0CEf3bE2A8A,,,,[],other/anonymous
17.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
17.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
17.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
18.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
18.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
18.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
19.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
19.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
21.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
21.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
22.0,0x378a9c9C44b41c0e8970C358470e4E72EB782302,,,,[],other/anonymous
22.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
22.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
23.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
23.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi leader/builder
24.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
24.0,0x10F87409E405c5e44e581A4C3F2eECF36AAf1f92,,,,[],DeFi-app/company
25.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
25.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
25.0,0x9B5ea8C719e29A5bd0959FaF79C9E5c8206d0499,,,,['defiactivist.eth'],investment
25.0,0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c2,,,,[],other/anonymous
26.0,0x80DC468671316E50D4E9023D3db38D3105c1C146,,,,[],other/anonymous
27.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
